Name,Platform,DOIs,Citations,License,Categories
CellSIUS,R,"10.1101/514950, 10.1186/s13059-019-1739-7",39,Apache-2.0,"Clustering, Rare Cells, Visualisation"
CIPR,R,10.1186/s12859-020-3538-2,39,GPL-3.0,"Classification, Interactive, Marker Genes, Visualisation"
SCIM,Python,"10.1093/bioinformatics/btaa843, 10.1101/2020.06.11.146845",39,LGPL-3.0,Integration
SEACells,Python,"10.1038/s41587-023-01716-9, 10.1101/2022.04.02.486748",39,GPL-2.0,"Clustering, Visualisation"
BISCUIT,R,10.18547/gcb.2017.vol3.iss1.e46,38,'-,"Clustering, Imputation"
GMM-Demux,Python,"10.1101/828483, 10.1186/s13059-020-02084-2",38,MIT,"Quality Control"
scDRS,Python,"10.1038/s41588-022-01167-z, 10.1101/2021.09.24.461597",38,MIT,Variants
CarDEC,Python,"10.1101/2020.09.23.310003, 10.1101/gr.271874.120",37,MIT,"Clustering, Imputation, Integration"
hscScore,Python,10.1016/j.exphem.2019.08.009,37,'-,"Classification, Stem Cells"
iDEA,R/C++,10.1038/s41467-020-15298-6,37,GPL-3.0,"Gene Sets"
scdiff,Python,10.1101/gr.225979.117,37,MIT,"Gene Networks, Interactive, Ordering, Visualisation"
SigEMD,R,10.1016/j.ymeth.2018.04.017,37,'-,"Differential Expression, Imputation, Visualisation"
CellTrails,R,10.1016/j.celrep.2018.05.002,36,Artistic-2.0,"Dimensionality Reduction, Ordering, Visualisation"
Dhaka,Python,"10.1093/bioinformatics/btz095, 10.1101/183863",36,MIT,"Clustering, Dimensionality Reduction, Visualisation"
miQC,R,"10.1101/2021.03.03.433798, 10.1371/journal.pcbi.1009290",36,BSD-3-Clause,"Quality Control, Visualisation"
RAFSIL,R,"10.1093/bioinformatics/bty260, 10.1101/258699",36,GPL-2.0,"Clustering, Dimensionality Reduction"
scGPT,Python,10.1101/2023.04.30.538439,36,MIT,"Dimensionality Reduction"
VEGA,Python,"10.1038/s41467-021-26017-0, 10.1101/2020.12.17.423310",36,GPL-3.0,"Differential Expression, Dimensionality Reduction, Gene Networks"
RNA-Bloom,Java,"10.1101/701607, 10.1101/gr.260174.119",35,GPL-3.0,Assembly
scDesign2,R,"10.1089/cmb.2021.0440, 10.1101/2020.11.17.387795, 10.1186/s13059-021-02367-2",35,MIT,Simulation
scVEGs,R,10.1186/s12864-016-2897-6,35,MIT,"Variable Genes"
VAM,R,"10.1093/nar/gkaa582, 10.1101/2020.02.18.954321",35,GPL-2.0-or-later,"Gene Sets"
ACTIONet,R/C++,"10.1038/s41467-020-18416-6, 10.1101/746339",34,GPL-2.0-or-later,"Classification, Clustering, Dimensionality Reduction, Gene Sets, Integration, Normalisation, Visualisation"
alevin-fry,Rust,"10.1038/s41592-022-01408-3, 10.1101/2021.06.29.450377",34,BSD-3-Clause,"Alignment, Quantification, UMIs"
Jvis,Python,"10.1101/2021.01.10.426098, 10.1186/s13059-021-02356-5",34,BSD-3-Clause,"Dimensionality Reduction, Integration"
Multiscale_PHATE,Python,"10.1038/s41587-021-01186-x, 10.21203/rs.3.rs-311045/v1",34,GPL-3.0,"Dimensionality Reduction, Visualisation"
MultiVelo,Python,"10.1007/978-3-031-04749-7_18, 10.1038/s41587-022-01476-y, 10.1101/2021.12.13.472472",34,BSD-3-Clause,"Dimensionality Reduction, Integration, Ordering, Quality Control, Visualisation"
PhEMD,R,"10.1038/s41592-019-0689-z, 10.1101/455436",34,'-,"Dimensionality Reduction, Perturbations"
UMI_analysis,Perl/C,10.1038/s41598-018-31064-7,34,BSD-3-Clause,"Quantification, UMIs"
VIA,Python,"10.1038/s41467-021-25773-3, 10.1101/2021.02.10.430705",34,MIT,"Expression Patterns, Ordering, Visualisation"
ClusterMap,R,"10.1093/bioinformatics/btz024, 10.1101/331330",33,MIT,"Classification, Clustering, Integration, Visualisation"
DECENT,R,"10.1093/bioinformatics/btz453, 10.1101/225177",33,GPL-3.0,"Differential Expression, Imputation"
GFPA,Python,10.1016/j.compbiomed.2023.106733,33,MIT,"Gene Networks, Integration, Visualisation"
OnClass,Python,"10.1038/s41467-021-25725-x, 10.1101/810234",33,MIT,"Classification, Gene Sets, Integration, Marker Genes"
PIVOT,R,"10.1101/053348, 10.1186/s12859-017-1994-0",33,Custom,"Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Gene Networks, Gene Sets, Interactive, Normalisation, Ordering, Quality Control, Visualisation"
scCancer,R,"10.1093/bib/bbaa127, 10.1101/800490",33,GPL-3.0,"Cell Cycle, Classification, Clustering, Differential Expression, Gene Networks, Quality Control, Stem Cells"
SCmut,R,10.1093/bioinformatics/btz288,33,GPL-3.0,Variants
adobo,Python,10.1093/bioinformatics/btaa269,32,GPL-3.0,"Cell Cycle, Classification, Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Imputation, Normalisation, Quality Control, Visualisation"
BEER,R,10.1038/s41421-019-0114-x,32,MIT,Integration
bindSC,R,"10.1101/2020.12.11.422014, 10.1186/s13059-022-02679-x",32,GPL-3.0,"Clustering, Integration, Visualisation"
COSG,Python,"10.1093/bib/bbab579, 10.1101/2021.06.15.448484",32,BSD-3-Clause,"Marker Genes"
CSHMM,Python,"10.1093/bioinformatics/btz296, 10.1101/380568",32,'-,Ordering
DENDRO,R,"10.1101/457622, 10.1186/s13059-019-1922-x",32,GPL-3.0,"Clustering, Simulation, Variants, Visualisation"
Revelio,R,10.15252/msb.20209946,32,'-,"Cell Cycle, Ordering, Visualisation"
scCCESS,R,"10.1101/773903, 10.1186/s12859-019-3179-5",32,'-,"Clustering, Dimensionality Reduction"
tricycle,R,"10.1101/2021.04.06.438463, 10.1186/s13059-021-02581-y",32,GPL-3.0,"Cell Cycle, Dimensionality Reduction, Visualisation"
CrossTalkeR,R,"10.1093/bioinformatics/btab370, 10.1101/2021.01.20.427390",31,MIT,"Gene Networks, Visualisation"
densityCut,R,10.1093/bioinformatics/btw227,31,GPL-2.0-or-later,"Clustering, Visualisation"
HopLand,MATLAB,10.1093/bioinformatics/btx232,31,'-,"Ordering, Visualisation"
mbkmeans,R/C++,"10.1101/2020.05.27.119438, 10.1371/journal.pcbi.1008625",31,MIT,Clustering
mitch,R,10.1186/s12864-020-06856-9,31,CC-BY-SA-4.0,"Gene Sets, Visualisation"
scETM,Python,"10.1038/s41467-021-25534-2, 10.1101/2021.01.13.426593",31,BSD-3-Clause,"Dimensionality Reduction, Integration"
switchde,R,"10.1093/bioinformatics/btw798, 10.1101/076547",31,GPL-2.0-or-later,"Differential Expression, Expression Patterns"
TASIC,MATLAB,10.1093/bioinformatics/btx173,31,'-,"Interactive, Ordering"
DigitalCellSorter,Python,"10.1101/2020.07.17.208710, 10.1101/539833, 10.1186/s12859-019-2951-x, 10.7717/peerj.10670",30,'-,"Classification, Clustering, Dimensionality Reduction, Quality Control, Visualisation"
LAmbDA,Python,"10.1093/bioinformatics/btz295, 10.1101/522474",30,'-,"Classification, Integration, Variable Genes"
pCMF,R,"10.1093/bioinformatics/btz177, 10.1101/211938",30,GPL-2.0-or-later,"Dimensionality Reduction, Visualisation"
Randomly,Python,"10.1016/j.patter.2020.100035, 10.1101/426239, arxiv/1810.03602",30,MIT,"Clustering, Dimensionality Reduction, Gene Filtering, Imputation, Quality Control, Visualisation"
SILGGM,R,10.1371/journal.pcbi.1006369,30,GPL-2.0-or-later,"Gene Networks"
SPsimSeq,R,"10.1093/bioinformatics/btaa105, 10.1101/677740",30,GPL-2.0,Simulation
cna,Python,"10.1038/s41587-021-01066-4, 10.1101/2021.04.19.440534",29,GPL-3.0,"Expression Patterns, Visualisation"
cola,R/C++,"10.1093/bib/bbac048, 10.1093/nar/gkaa1146, 10.1101/2021.09.03.458844",29,MIT,"Clustering, Dimensionality Reduction, Gene Sets, Visualisation"
coupledAE-patchseq,Python,"10.1038/s43588-021-00030-1, 10.1101/2020.06.30.181065",29,Custom,"Dimensionality Reduction, Integration"
CSMF,Matlab,"10.1093/nar/gkz488, 10.1101/272443",29,'-,"Clustering, Dimensionality Reduction"
DropletQC,R,"10.1101/2021.08.02.454717, 10.1186/s13059-021-02547-0",29,MIT,"Quality Control"
ECLAIR,Python,"10.1093/nar/gkw452, 10.1101/036533",29,MIT,"Clustering, Ordering, Visualisation"
FEAST,R/C,10.1093/bib/bbab034,29,GPL-2.0,"Clustering, Variable Genes"
Inferelator,Python,"10.1093/bioinformatics/btac117, 10.1101/2021.05.03.442499",29,BSD-2-Clause,"Gene Networks"
SAIC,R,10.1186/s12864-017-4019-5,29,LGPL-2.0-or-later,Clustering
simspec,R,"10.1101/2020.02.27.968560, 10.1186/s13059-020-02147-4",29,'-,"Classification, Clustering, Dimensionality Reduction, Integration"
SMILE,Python,"10.1093/bioinformatics/btab706, 10.1101/2021.01.28.428619",29,'-,Integration
CellO,Python,"10.1016/j.isci.2020.101913, 10.1101/634097",28,MIT,Classification
DUBStepR,R,"10.1038/s41467-021-26085-2, 10.1101/2020.10.07.330563",28,MIT,"Variable Genes"
HiDeF,Python,"10.1101/2020.06.16.151555, 10.1186/s13059-020-02228-4",28,BSD-3-Clause,Clustering
PseudotimeDE,R,"10.1101/2020.11.17.387779, 10.1186/s13059-021-02341-y",28,MIT,"Differential Expression, Expression Patterns, Visualisation"
RESCUE,R,10.1186/s12859-019-2977-0,28,GPL-2.0-or-later,Imputation
scDART,Python,"10.1101/2021.04.16.440230, 10.1186/s13059-022-02706-x",28,GPL-3.0,"Dimensionality Reduction, Integration, Visualisation"
sciPENN,Python,"10.1038/s42256-022-00545-w, 10.1101/2020.09.23.310003",28,'-,"Classification, Imputation, Integration"
SCMarker,R,"10.1101/356634, 10.1371/journal.pcbi.1007445",28,GPL-2.0-or-later,"Variable Genes"
scVDMC,MATLAB,10.1371/journal.pcbi.1006053,28,Apache-2.0,Clustering
SPARSim,R,10.1093/bioinformatics/btz752,28,GPL-3.0,Simulation
sscClust,R,"10.1016/j.gpb.2018.10.003, 10.1101/344242",28,GPL-3.0,"Clustering, Dimensionality Reduction, Integration, Variable Genes, Visualisation"
AutomaticCellTypeIdentification,R,10.1016/j.csbj.2021.10.027,27,GPL-2.0-or-later,Classification
Capybara,R,"10.1016/j.stem.2022.03.001, 10.1101/2020.02.17.947390",27,'-,"Classification, Ordering"
CellMixS,R,"10.1101/2020.12.11.420885, 10.26508/lsa.202001004",27,GPL-2.0-or-later,"Integration, Visualisation"
Citrus,R,"10.1038/s41598-017-13665-w, 10.1101/045070",27,GPL-2.0-or-later,Normalisation
CLEAR,Python/R,"10.1093/bib/bbac377, 10.1101/2021.07.26.453730",27,'-,Integration
GPcounts,Python,"10.1093/bioinformatics/btab486, 10.1101/2020.07.29.227207",27,Apache-2.0,"Differential Expression, Expression Patterns, Ordering, Variable Genes, Visualisation"
MIRA,Python,"10.1038/s41467-023-39494-2, 10.1038/s41592-022-01595-z, 10.1101/2021.12.06.471401",27,'-,"Integration, Ordering, Visualisation"
MultiMAP,Python,"10.1101/2021.02.16.431421, 10.1186/s13059-021-02565-y",27,MIT,Integration
PBLR,MATLAB,"10.1093/jmcb/mjaa052, 10.1101/379883",27,'-,Imputation
RISC,R/C++,"10.1038/s41587-021-00859-x, 10.1101/483297",27,GPL-3.0,"Clustering, Dimensionality Reduction, Integration, Marker Genes, Normalisation, Visualisation"
SC2P,R,10.1093/bioinformatics/bty329,27,GPL-1.0,"Differential Expression, Visualisation"
scPOP,R/C++,"10.1093/gigascience/giab061, 10.1101/2021.03.26.437190",27,GPL-3.0,Integration
UniTVelo,Python,"10.1038/s41467-022-34188-7, 10.1101/2022.04.27.489808",27,BSD-3-Clause,"Ordering, Visualisation"
BCseq,C,10.1093/nar/gky308,26,'-,Quantification
BranchedGP,Python,"10.1101/166868, 10.1186/s13059-018-1440-2",26,Apache-2.0,"Expression Patterns, Visualisation"
EnImpute,R,10.1093/bioinformatics/btz435,26,GPL-2.0-or-later,Imputation
GraphSCC,Python,"10.1101/2020.09.02.278804, 10.1109/bibm49941.2020.9313569",26,Apache-2.0,Clustering
PRESCIENT,Python,"10.1038/s41467-021-23518-w, 10.1101/2020.08.26.269332",26,MIT,"Ordering, Perturbations"
sigGCN,Python,"10.1101/2021.06.13.448259, 10.1186/s12859-021-04278-2",26,'-,"Classification, Gene Networks"
singleCellTK,R,"10.1038/s41467-022-29212-9, 10.1101/2020.11.16.385328, 10.1101/2022.07.13.499900, 10.1101/329755, 10.2139/ssrn.4174578",26,MIT,"Alignment, Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Gene Sets, Interactive, Marker Genes, Normalisation, Quality Control, Quantification, Visualisation"
STACAS,R,"10.1093/bioinformatics/btaa755, 10.1101/2020.06.15.152306, 10.1101/2023.07.07.548105",26,GPL-3.0,Integration
Asc-Seurat,R,"10.1101/2021.03.19.436196, 10.1186/s12859-021-04472-2",25,GPL-3.0,"Clustering, Differential Expression, Dimensionality Reduction, Integration, Interactive, Ordering, Quality Control, Visualisation"
CellexalVR,Csharp,"10.1016/j.isci.2021.103251, 10.1101/329102",25,GPL-3.0,"Interactive, Visualisation"
DISC,Python,10.1186/s13059-020-02083-3,25,Apache-2.0,Imputation
scDaPars,R,"10.1101/2020.09.23.310649, 10.1101/gr.271346.120",25,'-,"Alternative Splicing"
scDEAL,Python,"10.1038/s41467-022-34277-7, 10.1101/2021.08.01.454654",25,Apache-2.0,Perturbations
scGate,R,"10.1093/bioinformatics/btac141, 10.1101/2021.11.08.467740",25,GPL-3.0,"Classification, Visualisation"
DeepDRIM,Python,"10.1093/bib/bbab325, 10.1101/2021.02.03.429484",24,'-,"Gene Networks"
dropkick,Python,"10.1101/2020.10.08.332288, 10.1101/gr.271908.120",24,MIT,"Quality Control"
GiniClust3,Python,"10.1101/788554, 10.1186/s12859-020-3482-1",24,MIT,"Clustering, Dimensionality Reduction, Rare Cells, Visualisation"
iMAP,Python,10.1186/s13059-021-02280-8,24,'-,Integration
scBatch,R/C++,"10.1093/bioinformatics/btaa097, 10.1101/669739",24,GPL-3.0-or-later,"Integration, Normalisation"
scDAPA,Shell/R,10.1093/bioinformatics/btz701,24,GPL-1.0,"Alternative Splicing, Visualisation"
scLCA,R,"10.1093/nar/gkz826, 10.1101/305581",24,GPL-2.0,Clustering
scModels,R,10.1101/657619,24,GPL-3.0,Simulation
SMGR,R/C,10.1093/nargab/lqac056,24,MIT,Integration
TENET,Python,"10.1093/nar/gkaa1014, 10.1101/2019.12.20.884163",24,'-,"Gene Networks"
CellFishing,Julia,"10.1101/374462, 10.1186/s13059-019-1639-x",23,MIT,Classification
CellPath,Python,"10.1016/j.crmeth.2021.100095, 10.1101/2020.09.30.321125",23,GPL-3.0,"Clustering, Differential Expression, Ordering, Visualisation"
CytoSPACE,Python/R,"10.1038/s41587-023-01697-9, 10.1101/2022.05.20.488356",23,GPL-3.0,"Integration, Visualisation"
DensityPath,R/Matlab,"10.1093/bioinformatics/bty1009, 10.1101/276311",23,'-,"Clustering, Dimensionality Reduction, Ordering"
NICHES,R,"10.1093/bioinformatics/btac775, 10.1101/2022.01.23.477401",23,GPL-3.0,"Gene Networks"
Pando,R,10.1101/2021.08.24.457460,23,MIT,"Gene Networks"
SCALEX,Python,"10.1038/s41467-022-33758-z, 10.1101/2021.04.06.438536",23,MIT,"Classification, Dimensionality Reduction, Integration, Visualisation"
scAPAtrap,R,10.1093/bib/bbaa273,23,AGPL-3.0,"Alternative Splicing, Quantification"
scClustViz,R,10.12688/f1000research.16198.1,23,MIT,"Interactive, Visualisation"
schema,Python,"10.1101/834549, 10.1186/s13059-021-02313-2",23,MIT,"Differential Expression, Gene Sets, Integration, Visualisation"
scMappR,R,"10.1093/nargab/lqab011, 10.1101/2020.08.24.265298",23,GPL-3.0,"Gene Sets, Visualisation"
scTenifoldNet,R/MATLAB,"10.1016/j.patter.2020.100139, 10.1101/2020.02.12.931469",23,GPL-2.0-or-later,"Dimensionality Reduction, Gene Networks, Normalisation, Quality Control"
SMSC,MATLAB,10.1093/bib/bbaa216,23,MIT,Clustering
VeloRep,Python,"10.1073/pnas.2105859118, 10.1101/2021.03.19.436127",23,MIT,"Dimensionality Reduction, Ordering"
DevKidCC,R,"10.1101/2021.01.20.427346, 10.1186/s13073-022-01023-z",22,MIT,"Classification, Visualisation"
DrSeq2,Python,"10.1101/143271, 10.1371/journal.pone.0180583",22,GPL-3.0,"Alignment, Clustering, Dimensionality Reduction, Integration, Normalisation, Quality Control, Quantification, UMIs, Variable Genes"
ENHANCE,Python/R,10.1101/655365,22,'-,"Dimensionality Reduction, Imputation"
GEARS,Python,"10.1038/s41587-023-01905-6, 10.1101/2022.07.12.499735",22,MIT,"Perturbations, Visualisation"
HPL,Python,"10.1038/s41467-021-23196-8, 10.1101/2020.03.27.010124",22,MIT,Classification
ICARUS,R,"10.1093/nar/gkac322, 10.1093/nargab/lqad032, 10.1101/2023.01.23.525100",22,MIT,"Cell Cycle, Classification, Differential Expression, Dimensionality Reduction, Gene Networks, Gene Sets, Imputation, Interactive, Marker Genes, Quality Control, Variants, Visualisation"
IDEAS,R,"10.1101/2021.05.10.443350, 10.1186/s13059-022-02605-1",22,MIT,"Differential Expression"
INSCT,Python,"10.1038/s42256-021-00361-8, 10.1101/2020.05.16.100024",22,MIT,Integration
RankCorr,Python,10.1186/s12859-020-03641-z,22,'-,"Marker Genes"
scSemiCluster,Python,10.1093/bioinformatics/btaa908,22,'-,Clustering
scTenifoldpy,Python,10.1016/j.patter.2020.100139,22,MIT,"Dimensionality Reduction, Gene Networks, Perturbations"
StabMap,R,"10.1038/s41587-023-01766-z, 10.1101/2022.02.24.481823",22,GPL-2.0,"Dimensionality Reduction, Integration, Visualisation"
UNCURL,Python,"10.1093/bioinformatics/bty293, 10.1101/142398, 10.1101/2020.04.15.043737",22,MIT,"Clustering, Dimensionality Reduction, Interactive, Ordering, Visualisation"
VAE-SNE,Python,10.1101/2020.07.17.207993,22,Apache-2.0,"Clustering, Dimensionality Reduction"
Beyondcell,R,"10.1101/2021.04.08.438954, 10.1186/s13073-021-01001-x",21,GPL-2.0,"Cell Cycle, Clustering, Dimensionality Reduction, Gene Sets, Perturbations, Visualisation"
CCSN,MATLAB,"10.1016/j.gpb.2020.05.005, 10.1101/2020.01.25.919829",21,'-,"Gene Networks"
Cyclum,Python,"10.1038/s41467-020-15295-9, 10.1101/625566",21,MIT,"Cell Cycle, Dimensionality Reduction"
ddSeeker,Python/R,10.1186/s12864-018-5249-x,21,GPL-3.0,"Quality Control, UMIs"
Falco,AWS,"10.1093/bioinformatics/btw732, 10.1101/064006, 10.1186/s12864-019-6341-6",21,GPL-3.0,"Alignment, Quantification"
gficf,R,"10.1093/nargab/lqad024, 10.1101/2022.10.24.513476, 10.3389/fgene.2019.00734",21,GPL-3.0,"Clustering, Dimensionality Reduction, Gene Sets, Normalisation, Visualisation"
MERLoT,R/Python,"10.1093/nar/gkz706, 10.1101/261768",21,GPL-3.0,"Ordering, Visualisation"
PopAlign,python,"10.1073/pnas.2005990117, 10.1101/421354",21,'-,"Clustering, Differential Expression, Dimensionality Reduction, Perturbations"
scDesign3,R,"10.1038/s41587-023-01772-1, 10.1101/2022.09.20.508796",21,MIT,"Simulation, Visualisation"
scHPL,Python,10.1038/s41467-021-23196-8,21,MIT,Classification
scPCA,R,"10.1093/bioinformatics/btaa176, 10.1101/836650, 10.21105/joss.02079",21,MIT,"Dimensionality Reduction"
scploid,R,10.1186/s12864-017-4253-x,21,GPL-3.0,"Variants, Visualisation"
scRNA,Python,10.1038/s41598-019-56911-z,21,MIT,"Clustering, Dimensionality Reduction"
TBSP,Python,"10.1093/nar/gkz146, 10.1101/401943",21,'-,"Clustering, Ordering, Variants, Visualisation"
TinGa,R,10.1093/bioinformatics/btaa463,21,GPL-3.0,"Dimensionality Reduction, Ordering, Visualisation"
DeepCycle,Python,"10.1038/s41467-022-30545-8, 10.1101/2021.03.17.435887",20,GPL-3.0,"Cell Cycle, Dimensionality Reduction, Ordering"
Dictys,Python,"10.1038/s41592-023-01971-3, 10.1101/2022.09.14.508036",20,AGPL-3.0,"Gene Networks, Integration, Ordering, Visualisation"
DIRECT-NET,R,10.1126/sciadv.abl7393,20,GPL-3.0,"Gene Networks, Visualisation"
EDGE,R/C++,10.1038/s41467-020-19465-7,20,GPL-3.0,"Dimensionality Reduction, Variable Genes"
embeddr,R,10.1101/027219,20,GPL-3.0,Ordering
ESCO,R,"10.1093/bioinformatics/btab116, 10.1101/2020.10.20.347211",20,GPL-3.0,Simulation
iS-CellR,R,10.1093/bioinformatics/bty517,20,GPL-3.0,"Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Interactive, Normalisation, Quality Control, Variable Genes, Visualisation"
jSRC,MATLAB,10.1093/bib/bbaa433,20,'-,Clustering
MFA,R,10.12688/wellcomeopenres.11087.1,20,GPL-2.0-or-later,"Ordering, Simulation, Visualisation"
scDGN,Python,"10.1089/cmb.2020.0439, 10.1101/2020.01.06.896621",20,'-,"Dimensionality Reduction, Integration"
SCENA,R,10.1093/bib/bbab236,20,MIT,"Clustering, Dimensionality Reduction, Visualisation"
scLink,R,"10.1016/j.gpb.2020.11.006, 10.1101/2020.09.19.304956",20,GPL-2.0,"Gene Networks"
SCpubr,R,10.1101/2022.02.28.482303,20,GPL-3.0,Visualisation
scTSSR,R,10.1093/bioinformatics/btaa108,20,GPL-3.0,Imputation
SingleCellExplorer,Python,10.1186/s12864-019-6053-y,20,LGPL-3.0,"Interactive, Visualisation"
CALISTA,MATLAB/R,"10.1101/2020.04.23.056069, 10.1101/257550, 10.12688/f1000research.131861.1, 10.3389/fbioe.2020.00018",19,BSD-3-Clause,"Clustering, Normalisation, Ordering, Visualisation"
graph-sc,Python,10.1093/bioinformatics/btab787,19,MIT,"Dimensionality Reduction, Visualisation"
psupertime,R,"10.1093/bioinformatics/btac227, 10.1101/622001",19,GPL-3.0,"Ordering, Visualisation"
satuRn,R,"10.1101/2021.01.14.426636, 10.12688/f1000research.51749.1",19,Artistic-2.0,"Alternative Splicing, Visualisation"
scAIDE,Python/R,10.1093/nargab/lqaa082,19,'-,"Clustering, Marker Genes, Visualisation"
scAnCluster,Python,10.3390/genes11070792,19,'-,"Classification, Clustering, Marker Genes"
SCMER,Python,"10.1038/s43588-021-00070-7, 10.1101/2020.12.01.407262",19,MIT,"Dimensionality Reduction, Variable Genes"
seqgendiff,R,"10.1101/758524, 10.1186/s12859-020-3450-9",19,GPL-3.0,Simulation
TRUmiCount,R/Shell,"10.1093/bioinformatics/bty283, 10.1101/217778",19,AGPL-3.0,"Quantification, UMIs"
cFIT,R,"10.1073/pnas.2024383118, 10.1101/2020.08.31.276345",18,GPL-3.0,"Dimensionality Reduction, Integration, Visualisation"
HurdleNormal,R,"10.1214/18-AOAS1213, arxiv/1610.05857",18,GPL-3.0,"Gene Networks"
RcppML,R/C++,10.1101/2021.09.01.458620,18,GPL-2.0,"Clustering, Dimensionality Reduction"
RNA-Sieve,Python/Mathematica,"10.1101/2020.10.01.322867, 10.1101/gr.272344.120",18,GPL-3.0,Integration
SCATS,Python/Perl,"10.1101/738997, 10.1371/journal.pcbi.1007925",18,'-,"Alternative Splicing"
scbean,Python,"10.1093/bib/bbab400, 10.1093/bioinformatics/btad005, 10.1101/2021.04.06.438733",18,MIT,"Dimensionality Reduction, Integration, Quality Control, Visualisation"
scHLAcount,Rust,"10.1093/bioinformatics/btaa264, 10.1101/750612",18,MIT,"Allele Specific, Haplotypes, Immune"
SCPA,R,"10.1016/j.celrep.2022.111697, 10.1101/2022.02.07.478807",18,GPL-3.0,"Gene Sets, Visualisation"
scruff,R,"10.1101/522037, 10.1186/s12859-019-2797-2",18,MIT,"Alignment, Quantification, UMIs, Visualisation"
scTyper,R,10.1186/s12859-020-03700-5,18,GPL-2.0,"Classification, Visualisation"
SEGtool,R,10.1093/bib/bbx074,18,'-,"Gene Filtering, Marker Genes"
sircel,Python,"10.1101/136242, 10.1186/s12859-019-2612-0",18,MIT,"Quantification, UMIs"
TOSICA,Python,10.1038/s41467-023-35923-4,18,MIT,"Classification, Gene Sets"
BUSseq,R/C++,"10.1038/s41467-020-16905-2, 10.1101/533372",17,GPL-2.0-or-later,"Clustering, Imputation, Integration, Marker Genes, Visualisation"
cellDancer,Python,10.1038/s41587-023-01728-5,17,BSD-3-Clause,"Ordering, Simulation, Visualisation"
cocoa,R/C++,10.1101/2022.03.15.484475,17,GPL-3.0,"Differential Expression, Gene Sets, Visualisation"
DEWAKSS,Python,"10.1101/2020.02.28.970202, 10.1371/journal.pcbi.1008569",17,'-,"Imputation, Visualisation"
EMEP,MATLAB,10.1093/bioinformatics/bty1056,17,'-,"Clustering, Dimensionality Reduction"
GRUFFI,R,10.15252/embj.2022111118,17,GPL-3.0,"Gene Sets, Quality Control, Visualisation"
ICAnet,R,10.1093/nar/gkab089,17,'-,"Dimensionality Reduction, Gene Networks, Integration, Visualisation"
MEDALT,Python/R,"10.1101/2020.04.12.038281, 10.1186/s13059-021-02291-5",17,MIT,"Ordering, Variants"
OEFinder,R,"10.1093/bioinformatics/btw004, 10.1101/025437",17,'-,"Interactive, Normalisation, Quality Control"
scConnect,Python,10.1093/bioinformatics/btab245,17,MIT,"Gene Networks"
sceb,Python,10.1101/389296,17,'-,"Variable Genes"
SCEVAN,R/C,"10.1038/s41467-023-36790-9, 10.1101/2021.11.20.469390",17,GPL-3.0,"Classification, Variants"
scriabin,R,"10.1038/s41587-023-01782-z, 10.1101/2022.02.04.479209",17,MIT,"Gene Networks, Visualisation"
SICILIAN,Python/R,"10.1101/2020.04.14.041905, 10.1186/s13059-021-02434-8",17,GPL-2.0,Alignment
SMaSH,Python,"10.1101/2021.04.08.438978, 10.1186/s12859-022-04860-2",17,MIT,"Gene Filtering, Marker Genes"
uniPort,Python,"10.1038/s41467-022-35094-8, 10.1101/2022.02.14.480323",17,MIT,Integration
aggregateBioVar,R,10.1093/bioinformatics/btab337,16,GPL-3.0,Quantification
CellRegMap,Python,"10.1101/2021.09.01.458524, 10.15252/msb.202110663",16,MIT,"Simulation, Variants"
Cepo,R,"10.1038/s43588-021-00172-2, 10.1101/2021.01.10.426138",16,MIT,"Differential Expression, Marker Genes, Visualisation"
GapClust,R,10.1038/s41467-021-24489-8,16,GPL-3.0,"Clustering, Rare Cells"
GLUER,Python,10.1101/2021.01.25.427845,16,MIT,"Dimensionality Reduction, Integration, Interactive, Visualisation"
ikarus,Python,"10.1101/2021.10.15.463909, 10.1186/s13059-022-02683-1",16,MIT,"Classification, Variants"
locCSN,Python/R,"10.1073/pnas.2113178118, 10.1101/2021.02.13.431104",16,MIT,"Gene Networks"
MEBOCOST,Python,"10.1101/2022.05.30.494067, 10.21203/rs.3.rs-2092898/v1",16,BSD-3-Clause,"Gene Networks, Visualisation"
minnow,C++,10.1093/bioinformatics/btz351,16,'-,"Simulation, UMIs"
scBASE,Python/Stan,"10.1038/s41467-019-13099-0, 10.1101/383224",16,MIT,"Allele Specific"
scCB2,R,"10.1101/832535, 10.1186/s13059-020-02054-8",16,GPL-3.0,"Quality Control"
scFates,Python,"10.1093/bioinformatics/btac746, 10.1101/2022.07.09.498657",16,BSD-3-Clause,"Ordering, Visualisation"
scGAE,Python,"10.1038/s41598-021-99003-7, 10.1101/2021.02.16.431357",16,MIT,"Dimensionality Reduction, Visualisation"
scMRA,Python,10.1093/bioinformatics/btab700,16,'-,Classification
scphaser,R,10.1093/bioinformatics/btw484,16,GPL-3.0,Haplotypes
scReClassify,R,10.1186/s12864-019-6305-x,16,GPL-3.0,Classification
scSeqComm,R,10.1093/bioinformatics/btac036,16,GPL-3.0,"Gene Networks, Gene Sets, Visualisation"
